Track Name,Artist Name,Album Name
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",
Ring My Bell,Anita Ward,
Hey Jude,The Beatles,
Killing Me Softly with His Song,Fugees,
Piano Man,Billy Joel,
Pompeii,Bastille,
Pressure,Billy Joel,
Two Tribes,Frankie Goes to Hollywood,
Get Down Tonight,KC and the Sunshine Band,
The Power,Snap!,
Time After Time,Cyndi Lauper,
Animals,Nickelback,
Therefore I Am,Billie Eilish,
On the Floor,Jennifer Lopez feat. Pitbull,
Smooth Criminal,Michael Jackson,
Hot Stuff,Donna Summer,
Three Times a Lady,Commodores,
I Saw Her Standing There,The Beatles,
Thrift Shop,Macklemore & Ryan Lewis feat. Wanz,
Lucille,Kenny Rogers,
"Oh, Pretty Woman",Roy Orbison,
lovely,Billie Eilish & Khalid,
Cold Heart (PNAU Remix),Elton John & Dua Lipa,
La Bamba,Ritchie Valens,
Great Balls of Fire,Jerry Lee Lewis,
"Ob-La-Di, Ob-La-Da",The Beatles,
Shiver,Ed Sheeran,
Someday,Mariah Carey,
ABC,The Jackson 5,
Always on My Mind,Willie Nelson,
Physical,Olivia Newton-John,
Human,The Killers,
One Kiss,Calvin Harris & Dua Lipa,
Cheap Thrills,Sia,
Rock Around the Clock,Bill Haley & His Comets,
The Middle,"Zedd, Maren Morris & Grey",
Be Our Guest,Jerry Orbach,
The Fresh Prince of Bel-Air Theme,Will Smith,
